Value,Type,Reference,Bedrooms,Bathrooms,Furnishing,Size,Amenities,Agency,Location
"6,000 QAR Monthly",Apartment,HM-265,2 + Maids Room,2,Partly furnished,"                                        1,076 sqft                          /              100 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Kitchen Appliances - Maids Room - Security - Shared Gym - Shared Pool,Hamat Muthar Real Estate & Contracting, Umm Salal Mahammad - Umm Salal Mohammad - Doha
"13,000 QAR Monthly",Apartment,AP21VBL2-41,2 + Maids Room,2,Partly furnished,"                                        1,722 sqft                          /              160 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maids Room - Security - Shared Gym - Shared Pool - Study - View of Landmark - View of Water,FGREALTY Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,HDR-23023,2,2,Partly furnished,"                                        1,292 sqft                          /              120 sqm                      ",Shared Gym - Shared Pool,Home Dealers Real Estate, Umm Salal Mahammad - Umm Salal Mohammad - Doha
"4,000 QAR Monthly",Apartment,clearspace-1792689,2,2,Unfurnished,"                                        1,184 sqft                          /              110 sqm                      ",Central A/C - Covered Parking - Security,Unicorn Real Estate, Najma Street - Najma - Doha
"11,000 QAR Monthly",Apartment,empireestate-1807454,2,3,Partly furnished,"                                        2,368 sqft                          /              220 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Empire Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Apartment,binalsheikh-1772212,2,3,Furnished,"                                        2,799 sqft                          /              260 sqm                      ",Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Bin Al Sheikh Real Estate, Al Sadd Road - Al Sadd - Doha
"11,000 QAR Monthly",Apartment,bhomesqa-1642980,2,2,Partly furnished,"                                        1,938 sqft                          /              180 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Tower 16 - Porto Arabia - The Pearl - Doha
"10,500 QAR Monthly",Apartment,apex-1737497,2,2,Partly furnished,"                                        1,765 sqft                          /              164 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Apex Real Estate, Tower 21 - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,BIH-JH-0085,2,3,Furnished,"                                        1,399 sqft                          /              130 sqm                      ",Central A/C - Covered Parking - Kitchen Appliances - Private Jacuzzi - Private Pool - Security - Shared Gym - Shared Pool - Walk-in Closet,Be In Homes Real Estate, West Bay Tower - West Bay - West Bay - Doha
"10,000 QAR Monthly",Apartment,j1-L058963,2,3,Partly furnished,"                                        1,292 sqft                          /              120 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Steps Real Estate, Tower 16 - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Apartment,104Y-SAD-2BR-FF,2,3,Furnished,"                                        1,615 sqft                          /              150 sqm                      ",Balcony - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool,ABHome Real Estate, Al Faisaliya Tower - Al Sadd - Al Sadd - Doha
"8,500 QAR Monthly",Apartment,2 BR 11,2 + Maids Room,3,Furnished,                                        11 sqft                          /              1 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maids Room - Security - Shared Gym - Shared Pool - Shared Spa - View of Landmark - View of Water,AR Real Estate, City Center Towers - West Bay - Doha
"5,500 QAR Monthly",Apartment,BIH-KM-Mansoura,2,2,Furnished,"                                        1,184 sqft                          /              110 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Walk-in Closet,Be In Homes Real Estate, Al Mansoura - Al Mansoura - Doha
"14,700 QAR Monthly",Apartment,bhomesqa-1651373,2,3,Furnished,"                                        1,830 sqft                          /              170 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Shared Gym - Shared Pool - View of Water - Walk-in Closet,Better Homes Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"14,500 QAR Monthly",Apartment,9074,2,3,Partly furnished,"                                        1,389 sqft                          /              129 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security,25 Spaces Real Estate, Carnaval - Qanat Quartier - The Pearl - Doha
"4,000 QAR Monthly",Apartment,MANS-GNM,2,2,Unfurnished,"                                        1,507 sqft                          /              140 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Pets Allowed - Security,Alif Zone Real Estate , Al Mansoura - Al Mansoura - Doha
"14,000 QAR Monthly",Apartment,TPG-R-1053,2,3,Furnished,"                                        1,507 sqft                          /              140 sqm                      ",Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,The Pearl Gates, East Porto Drive - Porto Arabia - The Pearl - Doha
"4,500 QAR Monthly",Apartment,ariane-1842031,2,2,Unfurnished,"                                        1,076 sqft                          /              100 sqm                      ",Covered Parking,Ariane Properties, Old Airport Road - Old Airport Road - Doha
"11,000 QAR Monthly",Apartment,HDR-12047,2,2,Partly furnished,"                                        1,938 sqft                          /              180 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"14,000 QAR Monthly",Apartment,2580,2,3,Partly furnished,"                                        1,916 sqft                          /              178 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Pets Allowed - Security - View of Water,25 Spaces Real Estate, Teatro - Qanat Quartier - The Pearl - Doha
"12,000 QAR Monthly",Apartment,A1502991,2,3,Furnished,"                                        1,539 sqft                          /              143 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Private Gym - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - Study - View of Landmark - View of Water - Walk-in Closet,Fookis Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"9,000 QAR Monthly",Apartment,nelsonpark-1850129,2,2,Furnished,"                                        1,615 sqft                          /              150 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Shared Gym - Shared Pool - View of Landmark - Walk-in Closet,NelsonPark Property , Anas Street - Fereej Bin Mahmoud North - Fereej Bin Mahmoud - Doha
"4,500 QAR Monthly",Apartment,ariane-1842031,2,2,Unfurnished,"                                        1,076 sqft                          /              100 sqm                      ",Covered Parking,Ariane Properties, Old Airport Road - Old Airport Road - Doha
"11,000 QAR Monthly",Apartment,HDR-12047,2,2,Partly furnished,"                                        1,938 sqft                          /              180 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"14,000 QAR Monthly",Apartment,2580,2,3,Partly furnished,"                                        1,916 sqft                          /              178 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Pets Allowed - Security - View of Water,25 Spaces Real Estate, Teatro - Qanat Quartier - The Pearl - Doha
"12,000 QAR Monthly",Apartment,A1502991,2,3,Furnished,"                                        1,539 sqft                          /              143 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Private Gym - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - Study - View of Landmark - View of Water - Walk-in Closet,Fookis Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"9,000 QAR Monthly",Apartment,nelsonpark-1850129,2,2,Furnished,"                                        1,615 sqft                          /              150 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Shared Gym - Shared Pool - View of Landmark - Walk-in Closet,NelsonPark Property , Anas Street - Fereej Bin Mahmoud North - Fereej Bin Mahmoud - Doha
"13,150 QAR Monthly",Apartment,L1485DA,2,2,Furnished,"                                        1,173 sqft                          /              109 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Gulf Avenues Real Estate, West Bay Tower - West Bay - West Bay - Doha
"14,000 QAR Monthly",Apartment,LMCW-A204,2,4,Furnished,"                                        1,345 sqft                          /              125 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - Shared Spa - Walk-in Closet,Le Mirage City Walk, Le Mirage City Walk - Fereej Bin Mahmoud South - Fereej Bin Mahmoud - Doha
"6,000 QAR Monthly",Apartment,alafaq-883592,2,2,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",Balcony - Central A/C - Security,Al Afaq Real Estate Development Co., Old Airport Road - Old Airport Road - Doha
"11,000 QAR Monthly",Apartment,HDR-19408,2,3,Furnished,"                                        1,862 sqft                          /              173 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"14,700 QAR Monthly",Apartment,bhomesqa-1651373,2,3,Furnished,"                                        1,830 sqft                          /              170 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Shared Gym - Shared Pool - View of Water - Walk-in Closet,Better Homes Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"14,500 QAR Monthly",Apartment,9074,2,3,Partly furnished,"                                        1,389 sqft                          /              129 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security,25 Spaces Real Estate, Carnaval - Qanat Quartier - The Pearl - Doha
"4,000 QAR Monthly",Apartment,MANS-GNM,2,2,Unfurnished,"                                        1,507 sqft                          /              140 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Pets Allowed - Security,Alif Zone Real Estate , Al Mansoura - Al Mansoura - Doha
"14,000 QAR Monthly",Apartment,TPG-R-1053,2,3,Furnished,"                                        1,507 sqft                          /              140 sqm                      ",Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,The Pearl Gates, East Porto Drive - Porto Arabia - The Pearl - Doha
"11,000 QAR Monthly",Apartment,TAG-0133,2,3,Partly furnished,"                                        1,851 sqft                          /              172 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Spa - View of Water - Walk-in Closet,The Agency, West Porto Drive - Porto Arabia - The Pearl - Doha
"15,500 QAR Monthly",Apartment,abhome-1880567,2,3,Furnished,"                                        1,410 sqft                          /              131 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Pets Allowed - Security - Shared Gym - Shared Pool - Shared Spa - View of Water - Walk-in Closet,ABHome Real Estate, West Bay Tower - West Bay - West Bay - Doha
"14,000 QAR Monthly",Apartment,TPVT2BF,2,3,Furnished,"                                        1,851 sqft                          /              172 sqm                      ",Balcony - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,MS Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"9,500 QAR Monthly",Apartment,parkavenue-1718138,2,3,Unfurnished,"                                        1,787 sqft                          /              166 sqm                      ",Balcony - Central A/C - Security - Shared Gym - Shared Pool,Park Avenue Realty CO. , Tower 7 (Ferrari Tower) - Porto Arabia - The Pearl - Doha
"15,000 QAR Monthly",Apartment,bhomesqa-1783100,2,2,Furnished,"                                        1,485 sqft                          /              138 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,Better Homes Qatar, West Bay Tower - West Bay - West Bay - Doha
"10,700 QAR Monthly",Apartment,2 Bed 130 Sqm Aquasuites Marina,2,2,Furnished,"                                        1,399 sqft                          /              130 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Aquastone, Viva West - Viva Bahriyah - The Pearl - Doha
"14,500 QAR Monthly",Apartment,Centra- 2br-01,2,2,Unfurnished,"                                        1,733 sqft                          /              161 sqm                      ",Central A/C - Concierge - Kitchen Appliances - Private Jacuzzi - Private Pool - Shared Gym - View of Water,Al Bandary Real Estate, Centara West Bay Residences & Suites Doha - Diplomatic Street - West Bay - Doha
"5,500 QAR Monthly",Apartment,BIH-KM-Mansoura,2,2,Furnished,"                                        1,184 sqft                          /              110 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Walk-in Closet,Be In Homes Real Estate, Al Mansoura - Al Mansoura - Doha
"13,000 QAR Monthly",Apartment,coreo-1280730,2,2,Partly furnished,"                                        1,389 sqft                          /              129 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Private Pool - Shared Gym - Shared Pool,Coreo Real Estate , Medina Centrale - Medina Centrale - The Pearl - Doha
"9,500 QAR Monthly",Apartment,ONE-873,2,2,Furnished,"                                        1,475 sqft                          /              137 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,One Percent Real Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"11,800 QAR Monthly",Apartment,VIVA_6,2,2,Furnished,"                                        1,399 sqft                          /              130 sqm                      ",Balcony - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,World Class Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2017B,2,2,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",Covered Parking - Kitchen Appliances, Capstone Property, E Block - Muzahem Street - Al Sadd - Doha
"5,000 QAR Monthly",Apartment,CAP48OAP - 002.,2,1,Furnished,                                        861 sqft                          /              80 sqm                      ,Built in Wardrobes - Central A/C - Kitchen Appliances - Security,Capital One Trading, Old Airport Road - Old Airport Road - Doha
"5,000 QAR Monthly",Apartment,sultanreqatar-1947463,2,2,Unfurnished,"                                        1,399 sqft                          /              130 sqm                      ",Covered Parking - Security,Sultan Real Estate, Al Sadd Road - Al Sadd - Doha
"6,000 QAR Monthly",Apartment,AP1356B,2,2,Furnished,                                        861 sqft                          /              80 sqm                      ,Concierge - Security - Shared Gym - Shared Pool, Capstone Property, Al Messila - Al Messila - Doha
"10,000 QAR Monthly",Apartment,ONE-1681,2,3,Partly furnished,"                                        2,045 sqft                          /              190 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,One Percent Real Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"11,500 QAR Monthly",Apartment,bhomesqa-1951836,2,3,Partly furnished,"                                        1,755 sqft                          /              163 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Tower 3 - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,mtcqatar-1952563,2,2,Partly furnished,"                                        1,345 sqft                          /              125 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Shared Gym - Shared Pool - Walk-in Closet,MTC Qatar , La Croisette - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,AP3554,2,3,Furnished,"                                        1,884 sqft                          /              175 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Q HOMES LLC, West Bay Tower - West Bay - West Bay - Doha
"4,000 QAR Monthly",Apartment,RT/CAPPT/MUT/994,2,2,Unfurnished,"                                        1,076 sqft                          /              100 sqm                      ",Security - Walk-in Closet,Real Tech Real Estate , Muaither South - Muaither South - Muaither Area - Doha
"10,500 QAR Monthly",Apartment,mtcqatar-1949528,2,2,Partly furnished,"                                        1,399 sqft                          /              130 sqm                      ",Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool,MTC Qatar , La Croisette - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,wcp_25a,2,3,Partly furnished,"                                        1,938 sqft                          /              180 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water - Walk-in Closet,World Class Properties, West Porto Drive - Porto Arabia - The Pearl - Doha
"10,500 QAR Monthly",Apartment,HDR-11939,2,3,Furnished,"                                        2,282 sqft                          /              212 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"5,500 QAR Monthly",Apartment,AP1576,2,2,Furnished,                                        753 sqft                          /              70 sqm                      ,, Capstone Property, Bilal Gardens - Old Airport Road - Doha
"6,500 QAR Monthly",Apartment,AP2707,2,2,Furnished,                                        969 sqft                          /              90 sqm                      ,Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool, Capstone Property, Bin Dirham 3 - Al Mansoura - Doha
"8,000 QAR Monthly",Apartment,watsons-1946990,2,2,Furnished,"                                        1,615 sqft                          /              150 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - Shared Spa,Watsons Properties, City Center Towers - West Bay - Doha
"11,000 QAR Monthly",Apartment,ONE-1623,2,3,Furnished,"                                        1,679 sqft                          /              156 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,One Percent Real Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"12,000 QAR Monthly",Townhouse,nelsonpark-1948110,2,3,Partly furnished,"                                        1,776 sqft                          /              165 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - View of Water - Walk-in Closet,NelsonPark Property , Tower 31 - Porto Arabia - The Pearl - Doha
"12,750 QAR Monthly",Apartment,AP21VBL1-50,2,2,Partly furnished,"                                        1,884 sqft                          /              175 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,FGREALTY Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2079,2,2,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",Covered Parking - Kitchen Appliances, Capstone Property, E Block - Muzahem Street - Al Sadd - Doha
"10,500 QAR Monthly",Apartment,ONE-2308,2,2,Furnished,"                                        1,238 sqft                          /              115 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,One Percent Real Estate , Viva East - Viva Bahriyah - The Pearl - Doha
"10,500 QAR Monthly",Apartment,A1629899,2,3,Furnished,"                                        1,238 sqft                          /              115 sqm                      ",Balcony - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Private Gym - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Fookis Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"13,750 QAR Monthly",Apartment,coreo-1952155,2,2,Furnished,"                                        1,787 sqft                          /              166 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Shared Gym - Shared Pool - Shared Spa,Coreo Real Estate , Viva West - Viva Bahriyah - The Pearl - Doha
"7,000 QAR Monthly",Apartment,AP2346,2,2,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",Covered Parking - Kitchen Appliances - Private Pool - Shared Gym - Shared Pool, Capstone Property, Al Bawakir Building - Al Sadd - Doha
"6,500 QAR Monthly",Apartment,AP2809,2,3,Furnished,                                        969 sqft                          /              90 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Najma street - Old Airport Road - Doha
"10,600 QAR Monthly",Apartment,AP2689,2,3,Furnished,"                                        2,153 sqft                          /              200 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Bab Al Rayyan - Muraikh - AlMuraikh - Doha
"12,500 QAR Monthly",Apartment,ONE-2247,2,3,Furnished,"                                        1,894 sqft                          /              176 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,One Percent Real Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Compound,gucqa-1949741,2,2,Partly furnished,"                                        1,938 sqft                          /              180 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool,Gulf United Real Estate, Bu Hamour Street - Abu Hamour - Doha
"11,000 QAR Monthly",Apartment,nelsonpark-1947120,2,2,Furnished,"                                        1,453 sqft                          /              135 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Security - Shared Gym - Shared Pool,NelsonPark Property , West Porto Drive - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,TPG-R-1327,2,3,Partly furnished,"                                        1,367 sqft                          /              127 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,The Pearl Gates, West Porto Drive - Porto Arabia - The Pearl - Doha
"9,500 QAR Monthly",Apartment,directionrealestate-1951067,2,3,Unfurnished,"                                        1,884 sqft                          /              175 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances,Direction Real Estate, Burj Eleganté - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,nelsonpark-1946842,2,3,Partly furnished,"                                        1,830 sqft                          /              170 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Shared Gym - Shared Pool - View of Landmark - View of Water,NelsonPark Property , Tower 29 - Porto Arabia - The Pearl - Doha
"15,000 QAR Monthly",Apartment,A1590627,2,2,Furnished,"                                        1,238 sqft                          /              115 sqm                      ",Balcony - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Private Gym - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Fookis Real Estate, Viva Central - Viva Bahriyah - The Pearl - Doha
"10,000 QAR Monthly",Apartment,ONE-597,2,3,Partly furnished,"                                        1,679 sqft                          /              156 sqm                      ",Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,One Percent Real Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"15,000 QAR Monthly",Apartment,bhomesqa-1936927,2,2,Furnished,"                                        1,485 sqft                          /              138 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,Better Homes Qatar, West Bay Tower - West Bay - West Bay - Doha
"10,700 QAR Monthly",Apartment,Premier-062,2,2,Furnished,"                                        1,399 sqft                          /              130 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Premier Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"13,000 QAR Monthly",Apartment,HDR-22593,2,3,Partly furnished,"                                        2,454 sqft                          /              228 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,opal-1940670,2,2,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",Balcony - Security - Shared Gym,Opal Real Estate W.L.L, Hadramout Street - Doha Al Jadeed - Doha
"13,150 QAR Monthly",Apartment,AP5617,2,2,Furnished,"                                        1,173 sqft                          /              109 sqm                      ",,MD Properties, West Bay Tower - West Bay - West Bay - Doha
"7,500 QAR Monthly",Apartment,bhomesqa-1946616,2,2,Furnished,"                                        1,152 sqft                          /              107 sqm                      ",Built in Wardrobes - Central A/C - Kitchen Appliances,Better Homes Qatar, Al Nasr Street - Al Nasr - Doha
"20,400 QAR Monthly",Duplex,bhomesqa-1946535,2,3,Furnished,"                                        3,843 sqft                          /              357 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"8,500 QAR Monthly",Apartment,nelsonpark-1941760,2 + Maids Room,3,Furnished,"                                        1,798 sqft                          /              167 sqm                      ",Built in Wardrobes - Central A/C - Covered Parking - Maids Room - Security - Shared Gym - Shared Pool,NelsonPark Property , Zig Zag Tower B - Zig Zag Towers - West Bay - Doha
"7,000 QAR Monthly",Apartment,nelsonpark-1943050,2,2,Furnished,"                                        1,292 sqft                          /              120 sqm                      ",Built in Wardrobes - Central A/C - Covered Parking,NelsonPark Property , Al Nasr Street - Al Nasr - Doha
"15,000 QAR Monthly",Apartment,bhomesqa-1944171,2,2,Furnished,"                                        1,485 sqft                          /              138 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,Better Homes Qatar, West Bay Tower - West Bay - West Bay - Doha
"15,000 QAR Monthly",Apartment,T31-404,2,3,Partly furnished,"                                        2,336 sqft                          /              217 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Construction Development Company LLC , Tower 31 - Porto Arabia - The Pearl - Doha
"7,500 QAR Monthly",Apartment,nelsonpark-1950679,2,2,Furnished,"                                        1,615 sqft                          /              150 sqm                      ",Built in Wardrobes - Central A/C - Covered Parking - Security,NelsonPark Property , Al Sadd Road - Al Sadd - Doha
"4,000 QAR Monthly",Apartment,bhomesqa-1943469,2,2,Unfurnished,                                        807 sqft                          /              75 sqm                      ,Covered Parking,Better Homes Qatar, Salaja Street - Doha Al Jadeed - Doha
"10,500 QAR Monthly",Apartment,AP5644,2,1,Unfurnished,"                                        1,076 sqft                          /              100 sqm                      ",,MD Properties, West Bay Tower - West Bay - West Bay - Doha
"5,500 QAR Monthly",Apartment,FBCM-R0193,2,2,Furnished,"                                        1,615 sqft                          /              150 sqm                      ",,Future Business , Al Mansoura - Al Mansoura - Doha
"9,000 QAR Monthly",Apartment,nelsonpark-1946146,2 + Maids Room,2,Furnished,"                                        1,292 sqft                          /              120 sqm                      ",Central A/C - Maids Room - Shared Gym - View of Water,NelsonPark Property , Al Sadd Road - Al Sadd - Doha
"7,000 QAR Monthly",Apartment,BA-,2,3,Furnished,"                                        1,292 sqft                          /              120 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Security - View of Landmark,Ahmed Hassan Bilal Trading & Contracting Co. WLL, Bilal Apartments - Bilal Apartments - Al Mirqab Al Jadeed - Doha
