Value,Type,Reference,Bedrooms,Bathrooms,Furnishing,Size,Amenities,Agency,Location
"15,000 QAR Monthly",Compound,ARE-M04-04,4 + Maids Room,4,Partly furnished,"                                        3,175 sqft                          /              295 sqm                      ",Central A/C - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Security - Shared Gym - Shared Pool - Walk-in Closet,Al Mana Real Estate, Palm City Gardens - Al Waab - Al Waab - Doha
"13,846 QAR Monthly",Villa,AR-DQ-18,4 + Maids Room,6,Partly furnished,"                                        3,767 sqft                          /              350 sqm                      ",Balcony - Barbecue Area - Built in Wardrobes - Children's Play Area - Children's Pool - Concierge - Covered Parking - Kitchen Appliances - Lobby in Building - Maid Service - Maids Room - Networked - Pets Allowed - Security - Shared Gym - Shared Pool - Shared Spa - Study - View of Landmark - View of Water - Walk-in Closet,Danat Qatar, Al Waab Street - Al Waab - Doha
"26,000 QAR Monthly",Penthouse,loftbureau-1956110,4 + Maids Room,5,Partly furnished,"                                        9,688 sqft                          /              900 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water - Walk-in Closet,The Loft Bureau Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Compound,SF 4BDR Villa in Gharrafa,4,4,Partly furnished,"                                        3,498 sqft                          /              325 sqm                      ",Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool,Al Dar Properties, Noor Complex - Al Gharrafa - Doha
"9,000 QAR Monthly",Apartment,nelsonpark-1951019,4 + Maids Room,5,Partly furnished,"                                        2,971 sqft                          /              276 sqm                      ",Built in Wardrobes - Central A/C - Kitchen Appliances - Maids Room - Security - Shared Gym - Shared Pool - View of Water,NelsonPark Property , Zig Zag Tower A - Zig Zag Towers - West Bay - Doha
"15,999 QAR Monthly",Apartment,loftbureau-1950178,4 + Maids Room,5,Partly furnished,"                                        3,401 sqft                          /              316 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Shared Gym - Shared Pool - Shared Spa - View of Water - Walk-in Closet,The Loft Bureau Real Estate, Tower 7 (Ferrari Tower) - Porto Arabia - The Pearl - Doha
"15,000 QAR Monthly",Villa,nelsonpark-1944962,4 + Maids Room,4,Unfurnished,"                                        3,229 sqft                          /              300 sqm                      ",Built in Wardrobes - Central A/C - Covered Parking - Maids Room - Private Garden - Security - Shared Gym - Shared Pool,NelsonPark Property , Al Nuaija Street - Al Hilal West - Al Hilal - Doha
"16,500 QAR Monthly",Villa,YVill01_4BR_FF_AS_E,4 + Maids Room,6,Furnished,"                                        3,907 sqft                          /              363 sqm                      ",Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Private Gym - Security - Shared Gym - Shared Pool - Shared Spa - View of Landmark,RAMACO, Abu Sidra - Abu Sidra - Al Rayyan - Doha
"14,000 QAR Monthly",Compound,BR001,4,4,Unfurnished,"                                        3,595 sqft                          /              334 sqm                      ",Built in Wardrobes - Concierge - Kitchen Appliances - Maid Service - Pets Allowed - Private Garden - Security - Shared Gym - Shared Pool - Walk-in Closet,Just Real Estate , Al Wajba Street - Al Jebailat - Doha
"14,999 QAR Monthly",Apartment,watsons-1957198,4,5,Partly furnished,"                                        3,283 sqft                          /              305 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Shared Gym - Shared Pool,Watsons Properties, Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Villa,almardya-1955928,4,4,Unfurnished,"                                        3,229 sqft                          /              300 sqm                      ",Balcony - Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool,Al Mardya, Ain Khaled - Ain Khaled - Doha
"8,000 QAR Monthly",Villa,bestbuy-1821029,4,3,Unfurnished,"                                        2,906 sqft                          /              270 sqm                      ",Private Pool,Best Buy Properties, Al Aziziyah - Al Aziziyah - Doha
"30,000 QAR Monthly",Villa,abjgroup-1856480,4 + Maids Room,5,Partly furnished,"                                        4,090 sqft                          /              380 sqm                      ",Built in Wardrobes - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Private Garden - Security - Shared Pool - Study,ABJ Group, West Gate - West Bay Lagoon - Doha
"10,000 QAR Monthly",Villa,nelsonpark-1934674,4,4,Partly furnished,"                                        3,767 sqft                          /              350 sqm                      ",Covered Parking - Security - Shared Gym - Shared Pool,NelsonPark Property , Umm Salal Mahammad - Umm Salal Mohammad - Doha
"9,500 QAR Monthly",Compound,CO1470,4,4,Partly furnished,"                                        2,960 sqft                          /              275 sqm                      ",Balcony - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Mirage International Property Consultants, Old Airport Road - Old Airport Road - Doha
"10,000 QAR Monthly",Compound,bhomesqa-1925612,4,4,Partly furnished,"                                        2,476 sqft                          /              230 sqm                      ",Balcony - Security - Shared Gym - Shared Pool,Better Homes Qatar, Umm Salal Mahammad - Umm Salal Mohammad - Doha
"10,000 QAR Monthly",Villa,HM-251,4 + Maids Room,5,Unfurnished,"                                        4,306 sqft                          /              400 sqm                      ",Balcony - Covered Parking - Maids Room - Security - Shared Gym - Shared Pool,Hamat Muthar Real Estate & Contracting, Izghawa - Izghawa - Doha
"33,000 QAR Monthly",Penthouse,PH41PAL1-51,4 + Maids Room,4,Furnished,"                                        4,898 sqft                          /              455 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maids Room - Security - Shared Gym - Shared Pool - View of Landmark - View of Water - Walk-in Closet,FGREALTY Qatar, Marina Gate - Porto Arabia - The Pearl - Doha
"12,000 QAR Monthly",Duplex,RT/STV/362/2019,4 + Maids Room,4,Unfurnished,"                                        4,306 sqft                          /              400 sqm                      ",Built in Wardrobes - Covered Parking - Maids Room,Real Tech Real Estate , Al Hilal - Al Hilal - Doha
